DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10246,10057,10067,10242,10145,10124,10247,10152,10125,10254,10124,10142,10260,10147,10115,,,10118,,,10130,,,10137
10251,10053,10069,10240,10149,10135,10251,10153,10129,10256,10122,10139,10259,10145,10111,,,10122,,,10135,,,10140
10249,10053,10059,10243,10148,10133,10249,10149,10129,10258,10127,10136,10262,10147,10110,,,10114,,,10136,,,10135
10249,10055,10063,10241,10147,10128,10249,10155,10128,10249,10124,10138,10264,10149,10111,,,10121,,,10133,,,10132
10244,10050,10059,10242,10150,10131,10247,10152,10129,10249,10129,10137,10262,10148,10111,,,10112,,,10133,,,10136
10245,10052,10058,10239,10149,10127,10249,10151,10132,10254,10129,10141,10259,10145,10116,,,10113,,,10137,,,10138
10242,10049,10059,10241,10146,10128,10253,10150,10133,10246,10127,10144,10258,10149,10117,,,10117,,,10127,,,10133
10247,10052,10061,10238,10153,10133,10251,10150,10128,10245,10124,10138,10261,10147,10115,,,10116,,,10136,,,10143
10252,10050,10057,10243,10153,10130,10251,10153,10133,10247,10127,10145,10258,10149,10110,,,10113,,,10133,,,10138
10247,10042,10060,10239,10151,10132,10248,10150,10133,10243,10125,10147,10256,10153,10114,,,10118,,,10131,,,10141
10247,10044,10061,10247,10153,10130,10245,10152,10130,10251,10128,10141,10257,10147,10115,,,10116,,,10129,,,10141
10244,10046,10060,10242,10149,10133,10249,10152,10130,10251,10130,10148,10257,10149,10115,,,10119,,,10135,,,10140
10247,10037,10058,10243,10149,10131,10255,10153,10135,10249,10128,10148,10257,10147,10115,,,10108,,,10134,,,10140
10243,10036,10058,10243,10150,10131,10249,10151,10133,10250,10133,10151,10254,10148,10111,,,10112,,,10130,,,10138
10245,10037,10057,10241,10155,10138,10248,10152,10133,10256,10129,10149,10255,10147,10114,,,10112,,,10129,,,10143
10244,10034,10059,10236,10154,10134,10247,10153,10133,10257,10129,10148,10248,10147,10113,,,10117,,,10131,,,10135
10246,10034,10057,10241,10153,10138,10243,10156,10135,10254,10135,10148,10255,10145,10116,,,10116,,,10133,,,10140
10248,10033,10051,10243,10150,10135,10246,10152,10141,10254,10133,10151,10259,10150,10113,,,10121,,,10128,,,10137
10251,10034,10052,10239,10151,10137,10245,10155,10135,10250,10132,10150,10259,10148,10113,,,10114,,,10132,,,10136
10250,10029,10049,10240,10151,10135,10247,10155,10136,10253,10134,10150,10260,10149,10111,,,10108,,,10136,,,10140
10254,10028,10051,10238,10153,10134,10245,10156,10131,10247,10134,10155,10252,10147,10114,,,10112,,,10134,,,10135
10248,10028,10050,10236,10151,10131,10252,10155,10140,10254,10133,10149,10246,10147,10113,,,10112,,,10132,,,10139
10250,10027,10050,10240,10160,10140,10245,10155,10137,10255,10137,10149,10256,10149,10113,,,10109,,,10135,,,10138
10248,10027,10048,10236,10157,10133,10247,10155,10142,10247,10136,10153,10250,10149,10118,,,10111,,,10134,,,10135
10245,10028,10051,10236,10155,10132,10247,10156,10133,10247,10137,10154,10249,10150,10114,,,10114,,,10130,,,10142
10243,10027,10054,10239,10156,10132,10247,10157,10136,10253,10137,10151,10253,10147,10111,,,10114,,,10131,,,10137
10251,10027,10051,10238,10155,10138,10248,10160,10137,10251,10141,10156,10258,10147,10116,,,10113,,,10135,,,10142
10245,10025,10049,10241,10156,10135,10251,10156,10135,10253,10140,10155,10260,10148,10117,,,10112,,,10129,,,10136
10242,10023,10047,10244,10160,10137,10251,10157,10137,10251,10136,10151,10262,10148,10117,,,10114,,,10130,,,10132
10246,10023,10044,10244,10159,10136,10247,10162,10139,10255,10135,10155,10264,10151,10116,,,10117,,,10131,,,10140
10248,10022,10050,10244,10155,10136,10249,10162,10138,10251,10138,10154,10250,10146,10110,,,10107,,,10132,,,10139
10250,10023,10044,10240,10160,10134,10249,10159,10138,10255,10138,10154,10255,10149,10117,,,10115,,,10133,,,10134
10254,10018,10049,10241,10157,10140,10250,10157,10142,10245,10139,10154,10255,10150,10110,,,10110,,,10130,,,10136
10243,10021,10047,10244,10153,10141,10249,10153,10141,10247,10143,10153,10254,10151,10116,,,10113,,,10131,,,10141
10242,10019,10046,10248,10158,10136,10250,10158,10143,10242,10142,10157,10255,10151,10111,,,10115,,,10129,,,10129
10243,10018,10045,10242,10156,10137,10246,10157,10145,10251,10142,10159,10252,10147,10114,,,10111,,,10128,,,10135
10244,10015,10046,10253,10159,10134,10250,10160,10142,10250,10142,10158,10255,10147,10116,,,10113,,,10133,,,10133
10246,10018,10045,10249,10158,10138,10247,10162,10145,10248,10141,10155,10255,10150,10115,,,10115,,,10128,,,10138
10246,10020,10044,10254,10160,10137,10252,10161,10144,10251,10145,10162,10255,10148,10110,,,10114,,,10127,,,10139
10246,10016,10048,10247,10163,10140,10250,10165,10146,10250,10143,10160,10257,10147,10113,,,10113,,,10133,,,10137
10244,10017,10048,10252,10161,10140,10253,10162,10139,10252,10141,10154,10255,10150,10109,,,10116,,,10128,,,10136
10243,10015,10045,10248,10161,10138,10248,10165,10141,10254,10149,10160,10254,10152,10112,,,10114,,,10130,,,10132
10244,10017,10047,10250,10161,10135,10253,10162,10142,10257,10149,10160,10256,10147,10110,,,10110,,,10127,,,10135
10248,10012,10046,10249,10163,10139,10246,10163,10141,10253,10146,10157,10255,10149,10111,,,10115,,,10125,,,10138
10247,10011,10045,10251,10161,10140,10251,10165,10148,10253,10144,10161,10258,10147,10108,,,10114,,,10128,,,10133
10246,10011,10047,10249,10160,10139,10251,10162,10145,10258,10145,10161,10255,10149,10110,,,10114,,,10127,,,10135
10243,10013,10049,10248,10160,10142,10254,10163,10150,10250,10147,10166,10257,10149,10109,,,10114,,,10135,,,10138
10251,10016,10043,10242,10165,10143,10253,10165,10146,10252,10151,10166,10263,10149,10110,,,10115,,,10134,,,10138
10241,10014,10042,10244,10164,10141,10248,10166,10152,10257,10151,10163,10260,10149,10119,,,10112,,,10131,,,10135
10247,10013,10045,10249,10162,10139,10253,10167,10146,10257,10150,10159,10264,10147,10112,,,10114,,,10130,,,10138
10252,10010,10047,10242,10163,10139,10249,10163,10154,10257,10153,10160,10260,10150,10111,,,10115,,,10129,,,10136
10255,10010,10044,10244,10164,10139,10252,10167,10151,10252,10154,10164,10260,10153,10109,,,10110,,,10129,,,10135
10249,10009,10043,10243,10162,10150,10250,10164,10149,10258,10152,10169,10257,10153,10113,,,10115,,,10132,,,10141
10251,10009,10046,10249,10167,10143,10253,10164,10156,10255,10149,10166,10256,10152,10111,,,10115,,,10131,,,10133
