DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10248,9990,10023,10251,10198,10189,10249,10213,10195,10254,10176,10168,10253,10150,10107,,,10112,,,10135,,,10136
10247,9989,10026,10245,10197,10187,10248,10217,10194,10252,10178,10162,10251,10153,10106,,,10113,,,10133,,,10141
10251,9987,10024,10246,10202,10185,10247,10210,10195,10255,10173,10168,10248,10150,10113,,,10115,,,10135,,,10138
10253,9983,10026,10248,10202,10188,10250,10214,10196,10254,10174,10163,10249,10146,10109,,,10113,,,10131,,,10142
10253,9985,10024,10250,10201,10189,10250,10216,10199,10256,10172,10163,10252,10149,10108,,,10116,,,10135,,,10145
10251,9986,10025,10251,10202,10193,10248,10215,10198,10256,10174,10164,10250,10149,10103,,,10111,,,10134,,,10139
10251,9985,10024,10250,10198,10192,10242,10218,10200,10254,10177,10166,10248,10147,10106,,,10115,,,10134,,,10144
10248,9987,10024,10247,10199,10191,10244,10220,10198,10255,10173,10165,10251,10147,10107,,,10117,,,10140,,,10140
10247,9984,10020,10250,10201,10197,10254,10221,10204,10254,10173,10161,10257,10147,10106,,,10118,,,10135,,,10144
10252,9987,10022,10249,10206,10195,10249,10220,10201,10256,10175,10165,10251,10153,10103,,,10120,,,10132,,,10142
10246,9984,10025,10242,10207,10197,10249,10215,10198,10249,10171,10164,10252,10147,10101,,,10114,,,10129,,,10139
10250,9986,10022,10242,10207,10195,10248,10217,10200,10254,10173,10159,10251,10148,10102,,,10120,,,10132,,,10137
10251,9983,10022,10249,10209,10192,10251,10221,10200,10265,10171,10162,10254,10154,10105,,,10113,,,10133,,,10145
10251,9981,10021,10249,10207,10191,10248,10222,10204,10252,10174,10159,10249,10154,10104,,,10122,,,10135,,,10141
10245,9981,10024,10248,10207,10200,10240,10216,10203,10254,10171,10164,10252,10145,10102,,,10122,,,10130,,,10137
10250,9987,10020,10248,10207,10197,10249,10220,10198,10255,10170,10159,10244,10147,10102,,,10117,,,10132,,,10141
10244,9983,10021,10248,10209,10203,10244,10219,10203,10250,10173,10157,10251,10149,10104,,,10118,,,10129,,,10140
10253,9988,10023,10243,10207,10198,10244,10223,10200,10252,10173,10161,10249,10148,10102,,,10120,,,10131,,,10140
10248,9980,10019,10250,10207,10201,10249,10221,10202,10254,10173,10157,10249,10148,10101,,,10119,,,10129,,,10141
10252,9983,10020,10244,10211,10195,10249,10226,10202,10256,10169,10159,10253,10149,10104,,,10122,,,10133,,,10146
10251,9985,10017,10243,10211,10198,10245,10225,10205,10256,10169,10160,10247,10147,10099,,,10122,,,10129,,,10145
10249,9983,10019,10248,10211,10207,10246,10221,10207,10254,10174,10162,10256,10147,10104,,,10115,,,10128,,,10138
10249,9987,10018,10253,10213,10202,10247,10223,10208,10252,10172,10159,10253,10147,10101,,,10116,,,10132,,,10136
10251,9985,10019,10245,10213,10206,10249,10226,10209,10251,10169,10163,10250,10145,10102,,,10115,,,10132,,,10135
10250,9986,10019,10245,10211,10205,10246,10229,10202,10254,10167,10161,10249,10147,10098,,,10113,,,10129,,,10137
10248,9981,10019,10247,10210,10205,10242,10225,10206,10257,10171,10158,10253,10141,10107,,,10118,,,10138,,,10142
10249,9981,10023,10243,10215,10204,10243,10223,10210,10252,10169,10160,10252,10145,10106,,,10117,,,10129,,,10144
10247,9983,10021,10250,10218,10206,10241,10220,10204,10253,10166,10158,10247,10145,10100,,,10120,,,10135,,,10144
10247,9983,10019,10249,10215,10208,10241,10223,10206,10260,10167,10157,10248,10140,10098,,,10118,,,10131,,,10139
10239,9983,10016,10246,10219,10208,10246,10222,10210,10256,10170,10155,10249,10147,10100,,,10116,,,10128,,,10142
10246,9985,10020,10250,10221,10207,10248,10229,10202,10257,10173,10155,10250,10141,10098,,,10120,,,10130,,,10142
10253,9979,10018,10242,10217,10210,10247,10226,10211,10255,10168,10157,10250,10146,10098,,,10114,,,10133,,,10139
10251,9979,10017,10246,10221,10213,10250,10229,10210,10255,10171,10155,10249,10139,10096,,,10117,,,10134,,,10143
10252,9981,10020,10249,10221,10214,10243,10227,10208,10256,10169,10156,10250,10146,10100,,,10115,,,10134,,,10140
10252,9977,10016,10253,10219,10211,10245,10227,10210,10254,10171,10154,10249,10143,10099,,,10117,,,10134,,,10144
10250,9979,10016,10253,10220,10214,10243,10229,10214,10253,10169,10154,10252,10148,10102,,,10117,,,10133,,,10142
10249,9977,10019,10251,10219,10212,10245,10231,10211,10256,10167,10153,10252,10145,10098,,,10118,,,10135,,,10144
10249,9980,10018,10247,10221,10216,10243,10229,10207,10258,10169,10154,10253,10142,10095,,,10117,,,10133,,,10147
10253,9981,10014,10247,10229,10213,10249,10229,10211,10255,10170,10157,10256,10142,10098,,,10116,,,10128,,,10136
10253,9979,10018,10251,10224,10221,10248,10229,10213,10257,10169,10155,10246,10147,10099,,,10120,,,10135,,,10136
10255,9978,10016,10250,10228,10219,10248,10231,10215,10249,10169,10151,10251,10145,10093,,,10122,,,10130,,,10139
10250,9981,10018,10248,10231,10219,10246,10232,10209,10255,10171,10146,10252,10141,10094,,,10114,,,10138,,,10142
10251,9977,10017,10245,10230,10219,10247,10233,10214,10251,10166,10152,10251,10144,10095,,,10114,,,10136,,,10137
10250,9978,10016,10247,10228,10222,10244,10231,10216,10253,10166,10147,10253,10144,10091,,,10116,,,10136,,,10140
10244,9976,10018,10245,10230,10222,10243,10234,10216,10252,10165,10148,10253,10147,10096,,,10114,,,10136,,,10138
10249,9977,10009,10253,10228,10220,10248,10231,10215,10251,10166,10144,10254,10142,10095,,,10117,,,10136,,,10140
10250,9974,10013,10247,10233,10224,10246,10231,10210,10258,10168,10149,10249,10143,10095,,,10115,,,10142,,,10135
10247,9979,10012,10248,10231,10223,10252,10231,10210,10254,10168,10154,10253,10139,10094,,,10123,,,10135,,,10138
10249,9976,10015,10245,10233,10227,10245,10233,10216,10253,10166,10146,10246,10143,10100,,,10119,,,10130,,,10135
10243,9975,10009,10246,10233,10232,10246,10236,10215,10256,10167,10147,10248,10140,10099,,,10112,,,10134,,,10135
10246,9973,10012,10246,10239,10229,10244,10239,10216,10254,10168,10147,10250,10139,10098,,,10115,,,10130,,,10139
10249,9976,10013,10246,10239,10231,10241,10233,10216,10258,10164,10145,10255,10142,10093,,,10121,,,10129,,,10138
10245,9977,10009,10240,10235,10229,10251,10233,10214,10257,10161,10146,10257,10141,10095,,,10122,,,10132,,,10141
10244,9973,10015,10241,10240,10228,10247,10237,10212,10257,10164,10143,10250,10138,10096,,,10116,,,10134,,,10139
10249,9975,10012,10245,10239,10234,10246,10237,10213,10253,10162,10148,10250,10142,10096,,,10120,,,10130,,,10140
10241,9969,10013,10251,10241,10231,10244,10237,10220,10258,10159,10144,10251,10136,10094,,,10120,,,10132,,,10134
10246,9971,10011,10245,10242,10229,10246,10238,10213,10256,10159,10140,10249,10138,10097,,,10121,,,10135,,,10140
10244,9976,10007,10245,10243,10232,10247,10241,10212,10259,10161,10138,10252,10139,10089,,,10121,,,10131,,,10135
10246,9974,10006,10243,10243,10233,10250,10240,10222,10254,10158,10141,10250,10136,10095,,,10117,,,10129,,,10140
10248,9974,10013,10245,10241,10236,10249,10237,10219,10255,10156,10141,10252,10137,10094,,,10120,,,10135,,,10135
10244,9974,10012,10243,10241,10235,10250,10246,10224,10250,10158,10141,10244,10135,10094,,,10119,,,10133,,,10138
10245,9973,10009,10252,10241,10235,10247,10241,10218,10255,10157,10138,10253,10137,10095,,,10120,,,10134,,,10134
10248,9971,10005,10246,10245,10236,10245,10243,10227,10245,10157,10137,10249,10136,10094,,,10120,,,10134,,,10139
10248,9973,10006,10243,10244,10237,10247,10242,10218,10254,10155,10134,10253,10136,10093,,,10118,,,10132,,,10134
10247,9970,10008,10245,10244,10243,10247,10243,10218,10253,10153,10139,10252,10140,10096,,,10118,,,10134,,,10135
10242,9973,10011,10239,10248,10240,10247,10245,10218,10254,10155,10135,10251,10137,10100,,,10116,,,10126,,,10141
10242,9971,10009,10243,10250,10247,10250,10244,10217,10256,10155,10132,10250,10139,10097,,,10117,,,10133,,,10145
10243,9971,10009,10249,10250,10243,10251,10242,10222,10255,10156,10134,10249,10137,10095,,,10120,,,10139,,,10137
10251,9969,10009,10253,10249,10238,10253,10244,10223,10253,10155,10131,10250,10134,10092,,,10120,,,10140,,,10140
10241,9971,10006,10246,10252,10242,10243,10243,10216,10253,10155,10132,10254,10134,10089,,,10117,,,10136,,,10142
10246,9970,10008,10250,10254,10245,10249,10243,10225,10254,10151,10135,10251,10135,10091,,,10118,,,10136,,,10142
10249,9973,10009,10251,10252,10245,10248,10242,10221,10256,10154,10138,10247,10135,10092,,,10118,,,10141,,,10138
10243,9973,10010,10251,10256,10245,10248,10242,10222,10248,10152,10133,10247,10137,10095,,,10118,,,10137,,,10142
10246,9968,10006,10250,10255,10245,10247,10243,10223,10252,10154,10133,10252,10137,10097,,,10120,,,10131,,,10139
10247,9965,10010,10248,10257,10247,10246,10245,10217,10258,10147,10137,10248,10136,10092,,,10120,,,10134,,,10143
10244,9966,10009,10250,10257,10250,10248,10247,10218,10255,10153,10137,10257,10133,10089,,,10122,,,10134,,,10137
10248,9967,10011,10244,10257,10248,10247,10247,10223,10255,10152,10133,10250,10135,10096,,,10116,,,10137,,,10138
10243,9963,10006,10247,10258,10247,10247,10248,10223,10248,10151,10133,10252,10136,10095,,,10115,,,10129,,,10141
10247,9963,10002,10248,10258,10252,10250,10248,10221,10255,10147,10127,10254,10131,10095,,,10120,,,10139,,,10136
10242,9970,10007,10250,10261,10247,10247,10249,10223,10257,10152,10131,10247,10134,10087,,,10122,,,10137,,,10146
10244,9967,10010,10248,10261,10252,10246,10249,10214,10252,10149,10128,10250,10134,10094,,,10125,,,10137,,,10136
10243,9967,10005,10249,10263,10252,10246,10250,10216,10249,10148,10128,10251,10136,10092,,,10123,,,10136,,,10134
10248,9966,10004,10250,10264,10248,10247,10245,10222,10252,10145,10127,10245,10132,10091,,,10123,,,10132,,,10139
10250,9965,10003,10251,10268,10246,10247,10246,10219,10249,10144,10121,10249,10133,10096,,,10127,,,10128,,,10143
10243,9965,10004,10254,10264,10244,10243,10247,10222,10251,10147,10125,10252,10132,10088,,,10123,,,10132,,,10139
10244,9967,10003,10257,10263,10250,10247,10252,10223,10251,10147,10122,10246,10133,10092,,,10122,,,10134,,,10141
10242,9962,10003,10247,10267,10251,10248,10250,10217,10251,10145,10123,10252,10133,10093,,,10123,,,10130,,,10141
10244,9967,10008,10249,10269,10250,10249,10250,10222,10253,10149,10123,10251,10131,10092,,,10121,,,10131,,,10136
10251,9966,10010,10249,10267,10252,10242,10253,10223,10253,10140,10119,10249,10134,10098,,,10122,,,10137,,,10138
10253,9964,10004,10248,10268,10252,10243,10251,10223,10253,10143,10122,10254,10131,10089,,,10123,,,10134,,,10140
10249,9964,10006,10247,10270,10258,10245,10250,10224,10253,10143,10119,10248,10133,10088,,,10125,,,10134,,,10134
10252,9965,10002,10254,10268,10254,10246,10252,10224,10250,10143,10120,10250,10133,10088,,,10120,,,10137,,,10136
10247,9962,10006,10252,10271,10253,10240,10250,10228,10247,10141,10114,10252,10129,10089,,,10125,,,10131,,,10138
10244,9966,10005,10249,10273,10259,10242,10248,10223,10248,10146,10117,10253,10131,10090,,,10132,,,10131,,,10144
10247,9964,10006,10249,10274,10257,10245,10253,10223,10247,10141,10117,10256,10133,10088,,,10126,,,10132,,,10141
10252,9963,10007,10249,10273,10257,10248,10255,10225,10249,10141,10113,10256,10131,10085,,,10124,,,10133,,,10135
10248,9963,10006,10249,10272,10261,10245,10255,10225,10248,10141,10110,10258,10131,10092,,,10126,,,10129,,,10138
10253,9965,10008,10251,10279,10259,10244,10252,10223,10252,10141,10119,10257,10131,10091,,,10123,,,10133,,,10139
10251,9960,10007,10248,10277,10258,10242,10257,10222,10248,10136,10112,10259,10130,10092,,,10119,,,10132,,,10139
10250,9965,10000,10246,10281,10261,10246,10253,10224,10248,10138,10116,10255,10130,10085,,,10128,,,10127,,,10134
10250,9962,10004,10249,10281,10258,10241,10251,10223,10247,10137,10109,10251,10129,10089,,,10122,,,10130,,,10137
10248,9962,10003,10244,10280,10255,10245,10256,10225,10246,10139,10108,10256,10130,10087,,,10122,,,10136,,,10141
10247,9963,10004,10252,10278,10263,10245,10259,10223,10251,10137,10111,10256,10134,10086,,,10125,,,10132,,,10138
10247,9960,10006,10251,10281,10258,10243,10258,10224,10254,10136,10117,10249,10130,10091,,,10122,,,10123,,,10138
10254,9959,10000,10251,10281,10264,10240,10261,10225,10248,10135,10109,10252,10129,10083,,,10131,,,10129,,,10143
10247,9962,10002,10250,10281,10263,10246,10256,10221,10252,10133,10114,10254,10130,10091,,,10126,,,10130,,,10146
10249,9961,10008,10250,10284,10268,10245,10258,10227,10252,10133,10110,10254,10129,10090,,,10130,,,10132,,,10139
10249,9959,10005,10246,10285,10267,10245,10252,10229,10253,10132,10108,10254,10126,10086,,,10125,,,10128,,,10141
10249,9963,10002,10249,10287,10264,10248,10262,10217,10249,10133,10105,10251,10131,10082,,,10123,,,10131,,,10139
10244,9963,10008,10251,10286,10268,10241,10260,10225,10252,10133,10108,10253,10131,10085,,,10129,,,10129,,,10135
10254,9960,9997,10250,10285,10266,10253,10251,10225,10250,10129,10108,10248,10130,10081,,,10123,,,10125,,,10140
10250,9962,10007,10254,10281,10265,10250,10255,10231,10247,10132,10109,10252,10128,10085,,,10124,,,10130,,,10136
10243,9959,10005,10252,10286,10266,10245,10257,10230,10251,10133,10107,10253,10129,10084,,,10127,,,10126,,,10139
10244,9960,10005,10247,10287,10269,10246,10257,10231,10252,10130,10102,10254,10126,10085,,,10122,,,10126,,,10143
10247,9959,10004,10249,10289,10276,10242,10262,10231,10249,10128,10104,10249,10132,10084,,,10126,,,10131,,,10138
10244,9961,10003,10250,10291,10269,10250,10260,10236,10246,10125,10101,10251,10129,10078,,,10127,,,10128,,,10138
10243,9960,10001,10252,10291,10274,10243,10260,10226,10254,10125,10102,10249,10129,10080,,,10128,,,10129,,,10144
10244,9958,10002,10250,10293,10277,10249,10263,10224,10252,10124,10094,10254,10128,10082,,,10130,,,10128,,,10144
10246,9959,10004,10253,10295,10272,10248,10259,10230,10251,10126,10098,10253,10122,10079,,,10132,,,10131,,,10137
10249,9964,10000,10249,10295,10272,10249,10263,10227,10251,10124,10104,10252,10126,10086,,,10131,,,10131,,,10139
10247,9961,10000,10254,10298,10276,10250,10260,10229,10251,10119,10100,10251,10127,10086,,,10128,,,10132,,,10137
10247,9957,10003,10250,10296,10273,10249,10266,10230,10249,10122,10101,10252,10125,10083,,,10127,,,10132,,,10142
10248,9958,10001,10255,10295,10273,10249,10263,10230,10254,10119,10096,10256,10126,10082,,,10130,,,10130,,,10136
10247,9960,10003,10247,10294,10273,10251,10265,10228,10251,10123,10096,10262,10123,10074,,,10127,,,10132,,,10135
10247,9960,10006,10253,10297,10273,10247,10260,10228,10251,10118,10096,10258,10122,10077,,,10131,,,10126,,,10139
10250,9959,10000,10248,10298,10277,10243,10259,10228,10247,10115,10094,10256,10121,10081,,,10131,,,10131,,,10142
10252,9958,10008,10255,10297,10278,10246,10260,10225,10253,10120,10093,10257,10123,10079,,,10126,,,10126,,,10142
10248,9959,10002,10249,10299,10278,10242,10265,10230,10253,10117,10094,10251,10125,10081,,,10130,,,10129,,,10138
10245,9961,10002,10246,10295,10279,10245,10259,10235,10251,10119,10089,10256,10126,10077,,,10124,,,10134,,,10141
10250,9960,10001,10249,10300,10277,10247,10264,10231,10260,10114,10097,10253,10124,10081,,,10129,,,10131,,,10141
10246,9960,9999,10247,10299,10277,10248,10261,10228,10253,10115,10091,10251,10123,10083,,,10124,,,10130,,,10142
10247,9957,10007,10248,10302,10274,10247,10263,10231,10252,10114,10089,10249,10125,10081,,,10124,,,10125,,,10139
10248,9963,10002,10247,10304,10275,10247,10261,10230,10250,10115,10088,10254,10126,10081,,,10129,,,10135,,,10135
10248,9961,10000,10249,10307,10276,10247,10263,10229,10253,10116,10088,10254,10123,10078,,,10128,,,10128,,,10142
10247,9957,10006,10249,10304,10274,10247,10265,10232,10253,10113,10091,10247,10125,10078,,,10124,,,10134,,,10140
10252,9960,10008,10249,10306,10278,10247,10263,10230,10254,10113,10092,10255,10121,10079,,,10124,,,10129,,,10142
10246,9959,10010,10250,10307,10276,10247,10267,10232,10253,10110,10085,10256,10119,10083,,,10123,,,10130,,,10144
10249,9952,10006,10246,10308,10279,10245,10263,10225,10252,10108,10079,10247,10123,10075,,,10125,,,10127,,,10136
10244,9959,10007,10249,10307,10275,10249,10263,10230,10255,10115,10085,10247,10123,10080,,,10129,,,10131,,,10139
10244,9956,10006,10248,10313,10284,10242,10263,10229,10251,10109,10087,10253,10123,10079,,,10121,,,10130,,,10141
10244,9957,10002,10244,10309,10281,10245,10267,10232,10257,10106,10081,10254,10119,10078,,,10128,,,10135,,,10142
10248,9955,10008,10247,10310,10278,10243,10265,10228,10259,10104,10085,10256,10119,10077,,,10125,,,10129,,,10140
10247,9959,10005,10249,10313,10281,10239,10265,10226,10252,10108,10079,10256,10122,10081,,,10130,,,10131,,,10136
10249,9955,10008,10250,10313,10278,10252,10265,10231,10254,10106,10081,10252,10120,10077,,,10128,,,10131,,,10137
10244,9954,10011,10247,10311,10279,10247,10263,10228,10252,10111,10079,10253,10122,10082,,,10123,,,10128,,,10135
10239,9957,10009,10246,10312,10282,10250,10263,10227,10254,10109,10085,10262,10122,10076,,,10122,,,10123,,,10138
10242,9957,10008,10249,10314,10285,10247,10263,10230,10255,10103,10087,10257,10121,10081,,,10124,,,10132,,,10144
10246,9958,10007,10246,10314,10282,10250,10264,10228,10255,10106,10083,10259,10121,10076,,,10124,,,10133,,,10136
10247,9956,10011,10251,10313,10284,10249,10269,10231,10258,10101,10083,10255,10123,10072,,,10131,,,10130,,,10137
10240,9956,10012,10248,10317,10284,10246,10265,10226,10259,10103,10081,10256,10123,10077,,,10129,,,10127,,,10140
10248,9961,10011,10246,10316,10286,10243,10267,10228,10255,10103,10082,10260,10120,10075,,,10130,,,10130,,,10135
10239,9957,10010,10254,10317,10286,10243,10261,10233,10253,10095,10079,10255,10121,10076,,,10127,,,10131,,,10137
10248,9958,10010,10249,10317,10289,10244,10262,10239,10250,10096,10080,10254,10120,10077,,,10130,,,10129,,,10138
10244,9956,10006,10247,10316,10286,10249,10264,10231,10256,10095,10078,10256,10117,10075,,,10135,,,10127,,,10138
10248,9955,10014,10240,10318,10283,10246,10262,10227,10253,10097,10078,10256,10119,10080,,,10128,,,10132,,,10135
10248,9957,10014,10240,10323,10289,10248,10261,10235,10256,10095,10079,10262,10123,10079,,,10132,,,10128,,,10142
10247,9958,10010,10248,10321,10286,10244,10266,10227,10255,10093,10076,10260,10119,10077,,,10127,,,10128,,,10140
10248,9959,10011,10245,10324,10289,10247,10263,10227,10257,10093,10076,10252,10118,10073,,,10134,,,10132,,,10133
10251,9957,10013,10251,10322,10287,10250,10263,10230,10256,10090,10075,10258,10117,10078,,,10130,,,10129,,,10140
10245,9957,10011,10247,10325,10293,10247,10267,10232,10258,10096,10076,10258,10116,10079,,,10131,,,10130,,,10136
10255,9958,10009,10249,10321,10296,10244,10268,10230,10260,10093,10079,10256,10119,10076,,,10130,,,10128,,,10139
10244,9959,10012,10250,10323,10297,10247,10262,10228,10260,10093,10075,10255,10117,10078,,,10127,,,10130,,,10140
10245,9959,10014,10250,10325,10293,10245,10260,10229,10255,10094,10078,10257,10118,10071,,,10129,,,10131,,,10140
10238,9955,10016,10248,10325,10295,10248,10263,10226,10250,10089,10077,10255,10115,10072,,,10128,,,10129,,,10135
10244,9959,10013,10248,10328,10292,10243,10263,10226,10255,10088,10074,10257,10114,10074,,,10130,,,10135,,,10130
10251,9959,10018,10246,10324,10290,10244,10267,10225,10251,10089,10075,10254,10117,10069,,,10124,,,10130,,,10134
10250,9957,10017,10246,10325,10293,10241,10266,10226,10256,10085,10073,10255,10116,10078,,,10128,,,10130,,,10143
10253,9959,10014,10247,10323,10298,10244,10266,10229,10249,10085,10075,10257,10112,10076,,,10125,,,10127,,,10137
10249,9959,10011,10246,10322,10295,10243,10260,10223,10253,10085,10075,10253,10112,10077,,,10128,,,10132,,,10138
10243,9957,10016,10249,10325,10297,10243,10260,10229,10252,10085,10077,10253,10114,10072,,,10129,,,10129,,,10140
10247,9959,10016,10247,10327,10296,10240,10262,10231,10257,10082,10074,10253,10115,10071,,,10129,,,10127,,,10138
10251,9960,10014,10248,10329,10294,10245,10264,10230,10255,10080,10072,10250,10113,10076,,,10125,,,10132,,,10140
10251,9959,10012,10248,10330,10298,10248,10263,10233,10254,10083,10072,10247,10112,10075,,,10132,,,10127,,,10143
10246,9962,10016,10253,10331,10300,10250,10259,10231,10256,10078,10068,10258,10117,10071,,,10136,,,10129,,,10136
10247,9962,10010,10252,10333,10300,10252,10263,10231,10259,10078,10072,10253,10116,10075,,,10125,,,10123,,,10139
10248,9958,10013,10253,10329,10295,10244,10263,10232,10253,10075,10068,10252,10116,10075,,,10131,,,10135,,,10131
10251,9957,10015,10249,10334,10299,10248,10264,10229,10253,10083,10069,10251,10114,10075,,,10133,,,10125,,,10135
10246,9961,10019,10251,10335,10304,10247,10258,10224,10257,10083,10069,10253,10113,10075,,,10132,,,10127,,,10131
10252,9959,10017,10250,10333,10300,10247,10262,10227,10251,10077,10066,10254,10112,10073,,,10128,,,10128,,,10134
10245,9960,10014,10247,10335,10300,10243,10265,10229,10252,10077,10063,10251,10112,10070,,,10128,,,10123,,,10134
10243,9959,10017,10252,10334,10303,10246,10259,10230,10251,10075,10068,10257,10111,10074,,,10130,,,10130,,,10136
10250,9958,10017,10249,10333,10304,10246,10265,10228,10250,10073,10071,10254,10114,10076,,,10133,,,10131,,,10135
10248,9963,10019,10249,10334,10300,10246,10261,10231,10251,10072,10067,10255,10114,10070,,,10131,,,10129,,,10134
10244,9963,10021,10252,10335,10300,10245,10262,10230,10253,10075,10067,10251,10115,10074,,,10127,,,10130,,,10133
10246,9962,10022,10245,10334,10300,10248,10260,10229,10253,10075,10065,10254,10113,10072,,,10132,,,10129,,,10134
10239,9963,10020,10246,10336,10299,10245,10261,10226,10253,10073,10061,10254,10111,10070,,,10131,,,10128,,,10132
10242,9958,10019,10250,10337,10300,10247,10262,10227,10256,10073,10062,10257,10113,10075,,,10133,,,10129,,,10136
10246,9964,10015,10246,10337,10301,10248,10261,10228,10251,10075,10065,10257,10112,10071,,,10126,,,10131,,,10135
10245,9962,10017,10251,10339,10302,10247,10260,10226,10253,10074,10063,10257,10109,10071,,,10130,,,10131,,,10136
10242,9961,10018,10247,10340,10299,10254,10262,10224,10249,10073,10064,10259,10113,10067,,,10130,,,10130,,,10134
10243,9964,10016,10244,10339,10296,10253,10262,10226,10250,10071,10064,10256,10111,10071,,,10134,,,10134,,,10134
10243,9963,10015,10248,10340,10306,10242,10261,10231,10250,10071,10062,10256,10115,10071,,,10131,,,10131,,,10133
10247,9959,10019,10244,10341,10302,10247,10260,10229,10257,10068,10059,10257,10117,10070,,,10132,,,10129,,,10137
10243,9962,10018,10249,10339,10305,10245,10259,10229,10252,10071,10065,10256,10116,10072,,,10126,,,10127,,,10137
10246,9963,10016,10250,10336,10299,10245,10261,10231,10257,10067,10061,10259,10115,10072,,,10128,,,10127,,,10133
10241,9963,10017,10248,10339,10300,10250,10259,10224,10255,10069,10062,10258,10114,10069,,,10129,,,10129,,,10135
10245,9968,10019,10244,10338,10300,10251,10260,10230,10254,10067,10060,10258,10114,10065,,,10131,,,10131,,,10135
10243,9965,10016,10249,10342,10301,10248,10261,10225,10247,10067,10063,10255,10110,10067,,,10137,,,10132,,,10134
10247,9964,10017,10247,10343,10298,10251,10260,10221,10255,10067,10068,10254,10112,10067,,,10130,,,10136,,,10130
10247,9967,10017,10246,10345,10302,10253,10262,10229,10255,10065,10065,10247,10115,10071,,,10128,,,10129,,,10133
10246,9964,10021,10246,10347,10303,10248,10262,10230,10255,10068,10063,10253,10113,10072,,,10133,,,10126,,,10141
10242,9966,10017,10248,10347,10301,10248,10262,10227,10251,10061,10058,10257,10115,10071,,,10129,,,10131,,,10132
10241,9965,10022,10254,10344,10301,10250,10259,10222,10250,10066,10057,10253,10115,10068,,,10133,,,10131,,,10128
10246,9967,10021,10251,10344,10296,10247,10261,10225,10252,10061,10057,10253,10117,10068,,,10136,,,10128,,,10132
10242,9966,10021,10249,10343,10305,10247,10261,10223,10247,10063,10053,10254,10115,10068,,,10132,,,10129,,,10133
10249,9965,10019,10253,10348,10301,10248,10264,10225,10250,10059,10057,10251,10115,10067,,,10131,,,10127,,,10132
10240,9971,10024,10246,10345,10297,10251,10264,10227,10252,10061,10061,10252,10114,10072,,,10135,,,10129,,,10133
10243,9965,10020,10248,10349,10302,10242,10259,10225,10249,10058,10054,10251,10114,10065,,,10134,,,10131,,,10125
10245,9964,10017,10249,10345,10301,10243,10261,10229,10252,10063,10059,10250,10110,10069,,,10134,,,10127,,,10133
10244,9963,10023,10245,10345,10299,10246,10262,10228,10248,10061,10053,10255,10111,10067,,,10138,,,10132,,,10132
10248,9968,10024,10252,10345,10294,10246,10263,10223,10246,10060,10060,10255,10112,10067,,,10136,,,10132,,,10135
10247,9967,10023,10242,10347,10300,10244,10263,10222,10247,10057,10066,10254,10111,10069,,,10128,,,10133,,,10132
10247,9969,10022,10246,10344,10304,10241,10261,10225,10248,10058,10064,10258,10112,10071,,,10133,,,10132,,,10131
10244,9973,10025,10248,10348,10299,10244,10257,10220,10247,10053,10060,10254,10108,10068,,,10138,,,10130,,,10134
10245,9970,10017,10248,10351,10299,10241,10255,10222,10249,10057,10056,10249,10107,10067,,,10135,,,10131,,,10130
10241,9972,10025,10252,10345,10293,10240,10259,10223,10253,10056,10055,10254,10105,10075,,,10133,,,10131,,,10130
10243,9969,10025,10248,10343,10298,10241,10259,10221,10250,10058,10057,10255,10107,10067,,,10134,,,10130,,,10127
10246,9971,10025,10253,10345,10299,10238,10261,10223,10250,10055,10053,10256,10108,10069,,,10128,,,10134,,,10136
10243,9968,10027,10250,10347,10303,10241,10257,10228,10254,10056,10054,10255,10107,10071,,,10134,,,10132,,,10128
10240,9971,10022,10248,10348,10300,10241,10260,10222,10251,10055,10054,10256,10109,10066,,,10134,,,10126,,,10130
10245,9971,10026,10257,10350,10300,10241,10257,10217,10250,10054,10053,10259,10107,10066,,,10136,,,10132,,,10129
10244,9971,10025,10249,10348,10298,10245,10257,10219,10251,10053,10057,10255,10105,10067,,,10133,,,10128,,,10128
10242,9971,10025,10251,10348,10299,10245,10259,10223,10250,10053,10050,10256,10101,10062,,,10130,,,10127,,,10135
